"participant","mode","block_order","completed_at","age","gender","exp_symptom_checkers","exp_voice_ai","t1_1_case","t1_1_voice","t1_1_ai_condition","t1_1_initial_pick","t1_1_initial_conf","t1_1_final_pick","t1_1_final_conf","t1_1_shift","t1_2_case","t1_2_voice","t1_2_ai_condition","t1_2_initial_pick","t1_2_initial_conf","t1_2_final_pick","t1_2_final_conf","t1_2_shift","t1_3_case","t1_3_voice","t1_3_ai_condition","t1_3_initial_pick","t1_3_initial_conf","t1_3_final_pick","t1_3_final_conf","t1_3_shift","t1_4_case","t1_4_voice","t1_4_ai_condition","t1_4_initial_pick","t1_4_initial_conf","t1_4_final_pick","t1_4_final_conf","t1_4_shift","t2_1_case","t2_1_voice","t2_1_ai_condition","t2_1_initial_pick","t2_1_initial_conf","t2_1_final_pick","t2_1_final_conf","t2_1_shift","t2_2_case","t2_2_voice","t2_2_ai_condition","t2_2_initial_pick","t2_2_initial_conf","t2_2_final_pick","t2_2_final_conf","t2_2_shift","t2_3_case","t2_3_voice","t2_3_ai_condition","t2_3_initial_pick","t2_3_initial_conf","t2_3_final_pick","t2_3_final_conf","t2_3_shift","t2_4_case","t2_4_voice","t2_4_ai_condition","t2_4_initial_pick","t2_4_initial_conf","t2_4_final_pick","t2_4_final_conf","t2_4_shift","vpA_pleasantness","vpA_genderedness","vpA_competence","vpA_trust","vpA_humanness","vpA_warmth","vpA_intelligibility","vpA_naturalness","vpB_intelligibility","vpB_genderedness","vpB_competence","vpB_naturalness","vpB_trust","vpB_humanness","vpB_warmth","vpB_pleasantness"
"P01","remote","anthro_first","2026-05-21","25–34","weiblich",1,1,"case-markus-bandscheibe","anthropomorphic","confirm","A",4,"A",5,1,"case-tim-karies","anthropomorphic","refute","C",4,"C",4,0,"case-tomas-blase","anthropomorphic","refute","B",4,"B",4,0,"case-lea-streptokokken","anthropomorphic","confirm","C",3,"C",4,1,"case-jonas-trommelfellriss","machine","refute","B",4,"B",4,0,"case-paul-ekzem","machine","confirm","B",4,"B",5,1,"case-sophie-lungenentzuendung","machine","confirm","C",4,"C",5,1,"case-martin-bronchitis","machine","refute","A",4,"A",4,0,5,7,4,4,2,5,7,3,7,1,5,3,6,5,6,6
"P02","remote","anthro_first","2026-05-21","25–34","weiblich",2,2,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",7,"A",7,0,"case-jonas-trommelfellriss","anthropomorphic","refute","B",6,"A",6,0,"case-anna-erkaeltung","anthropomorphic","refute","B",7,"B",7,0,"case-lea-streptokokken","anthropomorphic","confirm","A",7,"A",7,0,"case-markus-bandscheibe","machine","refute","A",7,"A",5,-2,"case-tomas-blase","machine","confirm","B",6,"B",6,0,"case-helga-alterswarzen","machine","refute","C",5,"A",5,0,"case-daniel-belastungsreaktion","machine","confirm","B",5,"B",6,1,5,7,5,5,3,6,7,3,6,3,4,5,5,2,2,2
"P03","remote","machine_first","2026-05-25","18–24","weiblich",2,2,"case-daniel-belastungsreaktion","machine","confirm","A",3,"A",4,1,"case-paul-ekzem","machine","confirm","A",5,"A",5,0,"case-tim-karies","machine","refute","C",5,"A",4,-1,"case-nina-bindehaut","machine","refute","A",5,"C",4,-1,"case-anna-erkaeltung","anthropomorphic","refute","B",4,"A",3,-1,"case-helga-alterswarzen","anthropomorphic","confirm","A",5,"A",5,0,"case-martin-bronchitis","anthropomorphic","confirm","A",4,"A",6,2,"case-jonas-trommelfellriss","anthropomorphic","refute","C",4,"B",3,-1,3,3,4,4,2,3,6,2,5,6,4,5,4,5,5,5
"P04","remote","anthro_first","2026-05-19","18–24","männlich",7,6,"case-paul-ekzem","anthropomorphic","refute","C",4,"B",2,-2,"case-markus-bandscheibe","anthropomorphic","confirm","A",5,"A",7,2,"case-tomas-blase","anthropomorphic","confirm","B",3,"B",7,4,"case-sophie-lungenentzuendung","anthropomorphic","refute","B",3,"C",5,2,"case-martin-bronchitis","machine","confirm","B",4,"B",5,1,"case-daniel-belastungsreaktion","machine","refute","B",5,"A",1,-4,"case-tim-karies","machine","refute","C",3,"B",2,-1,"case-lea-streptokokken","machine","confirm","A",5,"A",7,2,6,6,6,7,7,6,7,6,4,2,4,3,5,5,3,2
"P05","remote","machine_first","2026-05-26","18–24","weiblich",3,2,"case-lea-streptokokken","machine","refute","A",6,"A",5,-1,"case-nina-bindehaut","machine","confirm","A",4,"A",5,1,"case-jonas-trommelfellriss","machine","confirm","B",3,"B",4,1,"case-helga-alterswarzen","machine","refute","A",2,"A",2,0,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",5,"C",3,-2,"case-tim-karies","anthropomorphic","confirm","B",3,"B",4,1,"case-anna-erkaeltung","anthropomorphic","confirm","B",5,"B",5,0,"case-markus-bandscheibe","anthropomorphic","refute","A",5,"A",4,-1,2,3,4,3,2,2,5,2,3,5,1,3,2,5,5,4
"P06","remote","machine_first","2026-05-25","25–34","weiblich",2,5,"case-lea-streptokokken","machine","refute","A",6,"A",4,-2,"case-helga-alterswarzen","machine","confirm","B",5,"B",6,1,"case-anna-erkaeltung","machine","confirm","B",4,"B",6,2,"case-sophie-lungenentzuendung","machine","refute","A",6,"A",5,-1,"case-nina-bindehaut","anthropomorphic","confirm","A",4,"A",5,1,"case-paul-ekzem","anthropomorphic","refute","A",5,"B",5,0,"case-tomas-blase","anthropomorphic","refute","A",6,"A",4,-2,"case-tim-karies","anthropomorphic","confirm","B",6,"B",7,1,3,2,4,3,2,3,6,1,6,7,5,3,4,3,5,4
"P07","remote","machine_first","2026-05-20","18–24","weiblich",3,1,"case-tomas-blase","machine","confirm","A",4,"A",4,0,"case-daniel-belastungsreaktion","machine","refute","A",5,"A",4,-1,"case-nina-bindehaut","machine","refute","A",2,"B",2,0,"case-anna-erkaeltung","machine","confirm","B",4,"B",5,1,"case-helga-alterswarzen","anthropomorphic","confirm","B",3,"B",3,0,"case-lea-streptokokken","anthropomorphic","confirm","C",4,"C",4,0,"case-tim-karies","anthropomorphic","refute","C",3,"A",4,1,"case-markus-bandscheibe","anthropomorphic","refute","A",5,"A",3,-2,4,4,3,3,3,3,5,3,5,5,3,3,3,4,3,2
"P08","remote","machine_first","2026-05-25","18–24","weiblich",3,1,"case-nina-bindehaut","machine","confirm","A",3,"A",4,1,"case-tomas-blase","machine","refute","A",6,"B",4,-2,"case-jonas-trommelfellriss","machine","refute","C",4,"A",2,-2,"case-daniel-belastungsreaktion","machine","confirm","A",1,"A",3,2,"case-helga-alterswarzen","anthropomorphic","refute","B",1,"C",3,2,"case-tim-karies","anthropomorphic","confirm","A",3,"A",4,1,"case-anna-erkaeltung","anthropomorphic","refute","B",5,"A",3,-2,"case-paul-ekzem","anthropomorphic","confirm","C",2,"C",5,3,1,6,2,2,1,1,7,1,7,7,5,5,4,6,4,5
"P09","remote","machine_first","2026-05-26","18–24","weiblich",4,5,"case-martin-bronchitis","machine","refute","A",4,"B",6,2,"case-paul-ekzem","machine","confirm","A",6,"A",7,1,"case-tomas-blase","machine","confirm","B",5,"B",7,2,"case-helga-alterswarzen","machine","refute","A",4,"C",5,1,"case-lea-streptokokken","anthropomorphic","confirm","A",4,"A",6,2,"case-nina-bindehaut","anthropomorphic","refute","A",3,"C",6,3,"case-tim-karies","anthropomorphic","confirm","C",5,"C",7,2,"case-markus-bandscheibe","anthropomorphic","refute","A",5,"C",7,2,5,3,5,5,3,4,6,4,6,7,6,6,5,6,6,7
"P10","remote","machine_first","2026-05-25","25–34","weiblich",2,2,"case-tim-karies","machine","refute","C",4,"B",4,0,"case-markus-bandscheibe","machine","confirm","B",5,"B",6,1,"case-anna-erkaeltung","machine","refute","A",5,"B",4,-1,"case-tomas-blase","machine","confirm","A",5,"A",6,1,"case-helga-alterswarzen","anthropomorphic","refute","B",2,"C",5,3,"case-paul-ekzem","anthropomorphic","confirm","A",6,"A",7,1,"case-nina-bindehaut","anthropomorphic","refute","A",6,"A",6,0,"case-daniel-belastungsreaktion","anthropomorphic","confirm","B",5,"B",6,1,2,3,6,5,2,1,7,1,6,5,3,5,3,6,4,4
