"participant","case","block","position","voice","ai","initial_pick","final_pick","initial_conf","final_conf","shift","pick_changed","cell","visibility_lost","initial_decision_ms","final_decision_ms"
"P01","case-markus-bandscheibe","t1",1,"anthropomorphic","confirm","A","A",4,5,1,0,"anthropomorphic.confirm",0,5475,2674
"P01","case-tim-karies","t1",2,"anthropomorphic","refute","C","C",4,4,0,0,"anthropomorphic.refute",0,5431,3777
"P01","case-tomas-blase","t1",3,"anthropomorphic","refute","B","B",4,4,0,0,"anthropomorphic.refute",1,10008,3899
"P01","case-lea-streptokokken","t1",4,"anthropomorphic","confirm","C","C",3,4,1,0,"anthropomorphic.confirm",0,5859,3588
"P01","case-jonas-trommelfellriss","t2",1,"machine","refute","B","B",4,4,0,0,"machine.refute",0,4739,3786
"P01","case-paul-ekzem","t2",2,"machine","confirm","B","B",4,5,1,0,"machine.confirm",0,4105,2182
"P01","case-sophie-lungenentzuendung","t2",3,"machine","confirm","C","C",4,5,1,0,"machine.confirm",0,8487,1705
"P01","case-martin-bronchitis","t2",4,"machine","refute","A","A",4,4,0,0,"machine.refute",0,5695,3470
"P02","case-sophie-lungenentzuendung","t1",1,"anthropomorphic","confirm","A","A",7,7,0,0,"anthropomorphic.confirm",0,2467,2021
"P02","case-jonas-trommelfellriss","t1",2,"anthropomorphic","refute","B","A",6,6,0,1,"anthropomorphic.refute",0,4267,8501
"P02","case-anna-erkaeltung","t1",3,"anthropomorphic","refute","B","B",7,7,0,0,"anthropomorphic.refute",0,5850,1537
"P02","case-lea-streptokokken","t1",4,"anthropomorphic","confirm","A","A",7,7,0,0,"anthropomorphic.confirm",0,4484,1784
"P02","case-markus-bandscheibe","t2",1,"machine","refute","A","A",7,5,-2,0,"machine.refute",0,2716,8837
"P02","case-tomas-blase","t2",2,"machine","confirm","B","B",6,6,0,0,"machine.confirm",0,9053,1632
"P02","case-helga-alterswarzen","t2",3,"machine","refute","C","A",5,5,0,1,"machine.refute",0,7152,1400
"P02","case-daniel-belastungsreaktion","t2",4,"machine","confirm","B","B",5,6,1,0,"machine.confirm",0,1530,2150
"P03","case-daniel-belastungsreaktion","t1",1,"machine","confirm","A","A",3,4,1,0,"machine.confirm",0,9292,2628
"P03","case-paul-ekzem","t1",2,"machine","confirm","A","A",5,5,0,0,"machine.confirm",0,3426,7392
"P03","case-tim-karies","t1",3,"machine","refute","C","A",5,4,-1,1,"machine.refute",0,2986,2010
