"participant","analysed","case_id","ai_condition","block","voice","position","initial_pick","initial_confidence","final_pick","final_confidence","confidence_shift","pick_changed","initial_decision_ms","final_decision_ms","visibility_lost","audio_file","age","gender","exp_symptom_checkers","exp_voice_ai"
"P01",1,"case-markus-bandscheibe","confirm",1,"anthropomorphic",1,"A",4,"A",5,1,0,5475,2674,0,"/audio/case-markus-bandscheibe/anthropomorphic/A.mp3","25–34","weiblich",1,1
"P01",1,"case-tim-karies","refute",1,"anthropomorphic",2,"C",4,"C",4,0,0,5431,3777,0,"/audio/case-tim-karies/anthropomorphic/B.mp3","25–34","weiblich",1,1
"P01",1,"case-tomas-blase","refute",1,"anthropomorphic",3,"B",4,"B",4,0,0,10008,3899,1,"/audio/case-tomas-blase/anthropomorphic/C.mp3","25–34","weiblich",1,1
"P01",1,"case-lea-streptokokken","confirm",1,"anthropomorphic",4,"C",3,"C",4,1,0,5859,3588,0,"/audio/case-lea-streptokokken/anthropomorphic/C.mp3","25–34","weiblich",1,1
"P01",1,"case-jonas-trommelfellriss","refute",2,"machine",1,"B",4,"B",4,0,0,4739,3786,0,"/audio/case-jonas-trommelfellriss/machine/A.mp3","25–34","weiblich",1,1
"P01",1,"case-paul-ekzem","confirm",2,"machine",2,"B",4,"B",5,1,0,4105,2182,0,"/audio/case-paul-ekzem/machine/B.mp3","25–34","weiblich",1,1
"P01",1,"case-sophie-lungenentzuendung","confirm",2,"machine",3,"C",4,"C",5,1,0,8487,1705,0,"/audio/case-sophie-lungenentzuendung/machine/C.mp3","25–34","weiblich",1,1
"P01",1,"case-martin-bronchitis","refute",2,"machine",4,"A",4,"A",4,0,0,5695,3470,0,"/audio/case-martin-bronchitis/machine/C.mp3","25–34","weiblich",1,1
"P02",1,"case-sophie-lungenentzuendung","confirm",1,"anthropomorphic",1,"A",7,"A",7,0,0,2467,2021,0,"/audio/case-sophie-lungenentzuendung/anthropomorphic/A.mp3","25–34","weiblich",2,2
"P02",1,"case-jonas-trommelfellriss","refute",1,"anthropomorphic",2,"B",6,"A",6,0,1,4267,8501,0,"/audio/case-jonas-trommelfellriss/anthropomorphic/C.mp3","25–34","weiblich",2,2
"P02",1,"case-anna-erkaeltung","refute",1,"anthropomorphic",3,"B",7,"B",7,0,0,5850,1537,0,"/audio/case-anna-erkaeltung/anthropomorphic/A.mp3","25–34","weiblich",2,2
"P02",1,"case-lea-streptokokken","confirm",1,"anthropomorphic",4,"A",7,"A",7,0,0,4484,1784,0,"/audio/case-lea-streptokokken/anthropomorphic/A.mp3","25–34","weiblich",2,2
"P02",1,"case-markus-bandscheibe","refute",2,"machine",1,"A",7,"A",5,-2,0,2716,8837,0,"/audio/case-markus-bandscheibe/machine/B.mp3","25–34","weiblich",2,2
"P02",1,"case-tomas-blase","confirm",2,"machine",2,"B",6,"B",6,0,0,9053,1632,0,"/audio/case-tomas-blase/machine/B.mp3","25–34","weiblich",2,2
"P02",1,"case-helga-alterswarzen","refute",2,"machine",3,"C",5,"A",5,0,1,7152,1400,0,"/audio/case-helga-alterswarzen/machine/A.mp3","25–34","weiblich",2,2
"P02",1,"case-daniel-belastungsreaktion","confirm",2,"machine",4,"B",5,"B",6,1,0,1530,2150,0,"/audio/case-daniel-belastungsreaktion/machine/B.mp3","25–34","weiblich",2,2
"P03",1,"case-daniel-belastungsreaktion","confirm",1,"machine",1,"A",3,"A",4,1,0,9292,2628,0,"/audio/case-daniel-belastungsreaktion/machine/A.mp3","18–24","weiblich",2,2
"P03",1,"case-paul-ekzem","confirm",1,"machine",2,"A",5,"A",5,0,0,3426,7392,0,"/audio/case-paul-ekzem/machine/A.mp3","18–24","weiblich",2,2
"P03",1,"case-tim-karies","refute",1,"machine",3,"C",5,"A",4,-1,1,2986,2010,0,"/audio/case-tim-karies/machine/A.mp3","18–24","weiblich",2,2
"P03",1,"case-nina-bindehaut","refute",1,"machine",4,"A",5,"C",4,-1,1,3118,4611,0,"/audio/case-nina-bindehaut/machine/C.mp3","18–24","weiblich",2,2
"P03",1,"case-anna-erkaeltung","refute",2,"anthropomorphic",1,"B",4,"A",3,-1,1,2610,1897,0,"/audio/case-anna-erkaeltung/anthropomorphic/A.mp3","18–24","weiblich",2,2
"P03",1,"case-helga-alterswarzen","confirm",2,"anthropomorphic",2,"A",5,"A",5,0,0,5056,1456,0,"/audio/case-helga-alterswarzen/anthropomorphic/A.mp3","18–24","weiblich",2,2
"P03",1,"case-martin-bronchitis","confirm",2,"anthropomorphic",3,"A",4,"A",6,2,0,2912,1488,0,"/audio/case-martin-bronchitis/anthropomorphic/A.mp3","18–24","weiblich",2,2
"P03",1,"case-jonas-trommelfellriss","refute",2,"anthropomorphic",4,"C",4,"B",3,-1,1,6512,7117,0,"/audio/case-jonas-trommelfellriss/anthropomorphic/B.mp3","18–24","weiblich",2,2
"P04",1,"case-paul-ekzem","refute",1,"anthropomorphic",1,"C",4,"B",2,-2,1,3144,4150,0,"/audio/case-paul-ekzem/anthropomorphic/B.mp3","18–24","männlich",7,6
"P04",1,"case-markus-bandscheibe","confirm",1,"anthropomorphic",2,"A",5,"A",7,2,0,2062,2471,0,"/audio/case-markus-bandscheibe/anthropomorphic/A.mp3","18–24","männlich",7,6
"P04",1,"case-tomas-blase","confirm",1,"anthropomorphic",3,"B",3,"B",7,4,0,6557,7856,0,"/audio/case-tomas-blase/anthropomorphic/B.mp3","18–24","männlich",7,6
"P04",1,"case-sophie-lungenentzuendung","refute",1,"anthropomorphic",4,"B",3,"C",5,2,1,4861,3023,0,"/audio/case-sophie-lungenentzuendung/anthropomorphic/C.mp3","18–24","männlich",7,6
"P04",1,"case-martin-bronchitis","confirm",2,"machine",1,"B",4,"B",5,1,0,7344,2202,0,"/audio/case-martin-bronchitis/machine/B.mp3","18–24","männlich",7,6
"P04",1,"case-daniel-belastungsreaktion","refute",2,"machine",2,"B",5,"A",1,-4,1,6218,4963,0,"/audio/case-daniel-belastungsreaktion/machine/A.mp3","18–24","männlich",7,6
"P04",1,"case-tim-karies","refute",2,"machine",3,"C",3,"B",2,-1,1,4153,1531,0,"/audio/case-tim-karies/machine/B.mp3","18–24","männlich",7,6
"P04",1,"case-lea-streptokokken","confirm",2,"machine",4,"A",5,"A",7,2,0,4093,2484,0,"/audio/case-lea-streptokokken/machine/A.mp3","18–24","männlich",7,6
"P05",1,"case-lea-streptokokken","refute",1,"machine",1,"A",6,"A",5,-1,0,4729,2052,0,"/audio/case-lea-streptokokken/machine/B.mp3","18–24","weiblich",3,2
"P05",1,"case-nina-bindehaut","confirm",1,"machine",2,"A",4,"A",5,1,0,15337,4053,0,"/audio/case-nina-bindehaut/machine/A.mp3","18–24","weiblich",3,2
"P05",1,"case-jonas-trommelfellriss","confirm",1,"machine",3,"B",3,"B",4,1,0,10009,2844,0,"/audio/case-jonas-trommelfellriss/machine/B.mp3","18–24","weiblich",3,2
"P05",1,"case-helga-alterswarzen","refute",1,"machine",4,"A",2,"A",2,0,0,7885,12886,0,"/audio/case-helga-alterswarzen/machine/B.mp3","18–24","weiblich",3,2
"P05",1,"case-sophie-lungenentzuendung","refute",2,"anthropomorphic",1,"A",5,"C",3,-2,1,2760,10090,0,"/audio/case-sophie-lungenentzuendung/anthropomorphic/B.mp3","18–24","weiblich",3,2
"P05",1,"case-tim-karies","confirm",2,"anthropomorphic",2,"B",3,"B",4,1,0,6726,3035,0,"/audio/case-tim-karies/anthropomorphic/B.mp3","18–24","weiblich",3,2
"P05",1,"case-anna-erkaeltung","confirm",2,"anthropomorphic",3,"B",5,"B",5,0,0,2418,2904,1,"/audio/case-anna-erkaeltung/anthropomorphic/B.mp3","18–24","weiblich",3,2
"P05",1,"case-markus-bandscheibe","refute",2,"anthropomorphic",4,"A",5,"A",4,-1,0,5073,1892,0,"/audio/case-markus-bandscheibe/anthropomorphic/B.mp3","18–24","weiblich",3,2
"P06",1,"case-lea-streptokokken","refute",1,"machine",1,"A",6,"A",4,-2,0,6318,5701,0,"/audio/case-lea-streptokokken/machine/C.mp3","25–34","weiblich",2,5
"P06",1,"case-helga-alterswarzen","confirm",1,"machine",2,"B",5,"B",6,1,0,3500,1701,0,"/audio/case-helga-alterswarzen/machine/B.mp3","25–34","weiblich",2,5
"P06",1,"case-anna-erkaeltung","confirm",1,"machine",3,"B",4,"B",6,2,0,8218,1834,0,"/audio/case-anna-erkaeltung/machine/B.mp3","25–34","weiblich",2,5
"P06",1,"case-anna-erkaeltung","confirm",1,"machine",3,"B",4,"B",5,1,0,8218,1834,0,"/audio/case-anna-erkaeltung/machine/B.mp3","25–34","weiblich",2,5
"P06",1,"case-anna-erkaeltung","confirm",1,"machine",3,"B",4,"B",6,2,0,8218,1834,0,"/audio/case-anna-erkaeltung/machine/B.mp3","25–34","weiblich",2,5
"P06",1,"case-sophie-lungenentzuendung","refute",1,"machine",4,"A",6,"A",5,-1,0,2452,1967,0,"/audio/case-sophie-lungenentzuendung/machine/B.mp3","25–34","weiblich",2,5
"P06",1,"case-nina-bindehaut","confirm",2,"anthropomorphic",1,"A",4,"A",5,1,0,4218,2835,0,"/audio/case-nina-bindehaut/anthropomorphic/A.mp3","25–34","weiblich",2,5
"P06",1,"case-paul-ekzem","refute",2,"anthropomorphic",2,"A",5,"B",5,0,1,2417,2235,0,"/audio/case-paul-ekzem/anthropomorphic/B.mp3","25–34","weiblich",2,5
"P06",1,"case-tomas-blase","refute",2,"anthropomorphic",3,"A",6,"A",4,-2,0,1368,1103,0,"/audio/case-tomas-blase/anthropomorphic/B.mp3","25–34","weiblich",2,5
"P06",1,"case-tim-karies","confirm",2,"anthropomorphic",4,"B",6,"B",7,1,0,2117,1467,0,"/audio/case-tim-karies/anthropomorphic/B.mp3","25–34","weiblich",2,5
"P07",1,"case-tomas-blase","confirm",1,"machine",1,"A",4,"A",4,0,0,6472,1412,0,"/audio/case-tomas-blase/machine/A.mp3","18–24","weiblich",3,1
"P07",1,"case-daniel-belastungsreaktion","refute",1,"machine",2,"A",5,"A",4,-1,0,6065,7326,0,"/audio/case-daniel-belastungsreaktion/machine/B.mp3","18–24","weiblich",3,1
"P07",1,"case-nina-bindehaut","refute",1,"machine",3,"A",2,"B",2,0,1,17270,1328,0,"/audio/case-nina-bindehaut/machine/B.mp3","18–24","weiblich",3,1
"P07",1,"case-anna-erkaeltung","confirm",1,"machine",4,"B",4,"B",5,1,0,2170,1520,0,"/audio/case-anna-erkaeltung/machine/B.mp3","18–24","weiblich",3,1
"P07",1,"case-helga-alterswarzen","confirm",2,"anthropomorphic",1,"B",3,"B",3,0,0,4595,2350,0,"/audio/case-helga-alterswarzen/anthropomorphic/B.mp3","18–24","weiblich",3,1
"P07",1,"case-lea-streptokokken","confirm",2,"anthropomorphic",2,"C",4,"C",4,0,0,3993,81303,0,"/audio/case-lea-streptokokken/anthropomorphic/C.mp3","18–24","weiblich",3,1
"P07",1,"case-tim-karies","refute",2,"anthropomorphic",3,"C",3,"A",4,1,1,18054,3204,0,"/audio/case-tim-karies/anthropomorphic/A.mp3","18–24","weiblich",3,1
"P07",1,"case-markus-bandscheibe","refute",2,"anthropomorphic",4,"A",5,"A",3,-2,0,3007,2813,0,"/audio/case-markus-bandscheibe/anthropomorphic/B.mp3","18–24","weiblich",3,1
"P08",1,"case-nina-bindehaut","confirm",1,"machine",1,"A",3,"A",4,1,0,29395,2870,0,"/audio/case-nina-bindehaut/machine/A.mp3","18–24","weiblich",3,1
"P08",1,"case-tomas-blase","refute",1,"machine",2,"A",6,"B",4,-2,1,3143,5479,0,"/audio/case-tomas-blase/machine/B.mp3","18–24","weiblich",3,1
"P08",1,"case-jonas-trommelfellriss","refute",1,"machine",3,"C",4,"A",2,-2,1,12401,25265,0,"/audio/case-jonas-trommelfellriss/machine/B.mp3","18–24","weiblich",3,1
